Instance,EAS (no LS),RAS (no LS),"EAS (LS, not tuned)","RAS (LS, not tuned)","EAS (LS, tuned)","RAS (LS, tuned)"
bur26g.dat,9517432,9527396,9507980,9507884,9508174,9507884
chr15b.dat,10227,10093,8532,8371,8854,8512
esc16d.dat,16,16,16,16,16,16
had14.dat,2730,2734,2724,2724,2724,2724
had20.dat,6931,6942,6927,6922,6922,6929
nug28.dat,5312,5318,5201,5199,5215,5207
scr12.dat,32202,32123,31410,31410,31410,31410
tai17a.dat,510175,509739,495976,496344,498228,497675
tai35a.dat,2614268,2642542,2529051,2532861,2484877,2488667
wil50.dat,49967,50503,49067,48939,48952,48924
