Instance,EAS (no LS),RAS (no LS),"EAS (LS, not tuned)","RAS (LS, not tuned)","EAS (LS, tuned)","RAS (LS, tuned)"
bur26g.dat,9549292,9586656,9508853,9507884,9508853,9507884
chr15b.dat,11978,11494,9290,8626,9290,9290
esc16d.dat,16,16,16,16,16,16
had14.dat,2744,2744,2724,2724,2724,2724
had20.dat,6964,6972,6948,6922,6922,6948
nug28.dat,5442,5358,5252,5228,5272,5254
scr12.dat,32996,32958,31410,31410,31410,31410
tai17a.dat,514492,516242,499670,500790,501326,502304
tai35a.dat,2660234,2680092,2541096,2544234,2504592,2530968
wil50.dat,50354,51168,49152,49056,49028,48996
