Instance,EAS (no LS),RAS (no LS),"EAS (LS, not tuned)","RAS (LS, not tuned)","EAS (LS, tuned)","RAS (LS, tuned)"
bur26g.dat,9508105,9508105,9507884,9507884,9507884,9507884
chr15b.dat,8640,8640,7990,7990,7990,7990
esc16d.dat,16,16,16,16,16,16
had14.dat,2724,2724,2724,2724,2724,2724
had20.dat,6922,6922,6922,6922,6922,6922
nug28.dat,5252,5280,5166,5166,5170,5166
scr12.dat,31410,31410,31410,31410,31410,31410
tai17a.dat,504408,501058,493662,491812,493662,493662
tai35a.dat,2560610,2603248,2511090,2513606,2475022,2470994
wil50.dat,49520,50058,48990,48892,48896,48874
